id,Source,Intermediate1,Intermediate2,Intermediate3,Intermediate4,Destination,Status
53,Chikali,Moshi,Ashok_Leyland,Kishor_Pumps,Nanekarwadi,Chakan,unsafe
54,Tukaram_Nagar,Mahlunge,Kalumbre,Sudhvadi,Vatan_Nagar,Chakan,safe
55,Tukaram_Nagar,Talegaon_Dhabade,Radha_Krishna_Mandir,Moshi,Alandi_Fata,Chakan,safe
56,Chakan,Biradvadi,Pandurang_Mandir,Delish_Veggies,Shani_Temple,Tukaram_Nagar,unsafe
57,Chimbali,Moshi,Borhade_Wadi,Seasons_Banquets,Nigdi1_Chowk,Pradhikaran,unsafe
58,Chimbali,Dehu_Moshi_Road,Moga_Market,Shree_Ganesh_Infotech,Dyaneshwar_Chowk,Pradhikaran,unsafe
59,Wadmukhwadi,Alandi,Bhosri,Vallabnagar,Kharalwadi,Pimpri,safe
60,Wadmukhwadi,Alankapuram,Spine,Datta_Dev_Temple,Nehru_Nagar,Pimpri,safe
61,Kasarwadi,Dapodi,Bopodi,Khadki,Sancheti,Shivaji_Nagar,safe
62,Kasarwadi,Dapodi,Pragati_Nagar,University_Road,Khaire_Vasti,Shivaji_Nagar,unsafe
63,Shivaji Nagar,Khaire_Vasti,University_Road,Pragati_Nagar,Dapodi,Kasarwadi,unsafe
64,Shivaji Nagar,Sancheti,Khadki,Bopodi,Dapodi,Kasarwadi,safe
65,Bhumkar_Chowk,Sayaji_Hotel,Wakad,Madhuban_Hotel,Dmart_Hinjewadi,Hinjewadi,safe
66,Bhumkar_Chowk,Durga_Hotel,Bhumkar_Vasti,Tukaram_Garden,Sai_Hospital,Hinjewadi,unsafe
67,Hinjewadi,Dmart_Hinjewadi,Madhuban_Hotel,Wakad,Sayaji_Hotel,Bhumkar_Chowk,safe
68,Hinjewadi,Sai_Hospital,Tukaram_Garden,Bhumkar_Vasti,Durga_Hotel,Bhumkar_Chowk,unsafe
69,Ruby_Hospital,Pall_Corporation,Wipro_Tech,Infosys_Pune,Eclerx_Service,Phase3,safe
70,Ruby_Hospital,Jaymalhar_Hotel,Joshi_wadewale,Ashwini_Hospital,Msrtc_Busstop,Phase3,unsafe
71,Phase3,Eclerx_Service,Infosys_Pune,Wipro_Tech,Pall_Corporation,Ruby_Hospital,safe
72,Phase3,Msrtc_Busstop,Ashwini_Hospital,Joshi_wadewale,Jaymalhar_Hotel,Ruby_Hospital,unsafe
73,Kaspate_Chowk,Vishal_Nagar,Military_Station,Distric_Hospital,Westend_Mall,Aundh,unsafe
74,Kaspate_Chowk,Akash_Towers,Pimple_Nilakh,Adarsh_Nagar,Hotel_Haveli,Aundh,safe
75,Aundh,Westend_Mall,Distric_Hospital,Military_Station,Vishal_Nagar,Kaspate_Chowk,unsafe
76,Aundh,Hotel_Haveli,Adarsh_Nagar,Pimple_Nilakh,Akash_Towers,Kaspate_Chowk,safe
77,Ambegaon_Bk,Katraj_Post_Office,Sai_Nagar,Ram_Mandir,Sun_City,Narhe,safe
78,Ambegaon_Bk,Jay_Bhavani_Chowk,Hotel_Purandar,Jambhulwadi_Lake,Engineers_Chai,Narhe,unsafe
79,Narhe,Engineers_Chai,Jambhulwadi_Lake,Hotel_Purandar,Jay_Bhavani_Chowk,Ambegaon_Bk,unsafe
